Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,26008,-,-,-,25.05,-111.66,-7,49,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2010,1,1,0,30,0,0,0,9,14,1010,9,3.1,0.2
2010,1,1,1,30,0,0,0,9,13,1010,12,3.3000000000000003,0.2
2010,1,1,2,30,0,0,0,10,13,1010,15,3.3000000000000003,0.2
2010,1,1,3,30,0,0,0,10,13,1010,19,3.2,0.2
2010,1,1,4,30,0,0,0,10,12,1010,22,3.1,0.2
2010,1,1,5,30,0,0,0,11,12,1010,25,2.9000000000000004,0.2
2010,1,1,6,30,0,0,0,11,12,1010,28,2.9000000000000004,0.2
2010,1,1,7,30,288,18,33,11,15,1010,29,3.8000000000000003,0.2
2010,1,1,8,30,719,51,232,10,18,1010,30,4.5,0.2
2010,1,1,9,30,874,66,437,8,22,1010,32,4.2,0.2
2010,1,1,10,30,947,74,602,5,25,1010,31,3.8000000000000003,0.2
2010,1,1,11,30,979,80,707,4,26,1010,26,3.1,0.2
2010,1,1,12,30,988,82,743,4,27,1010,18,2.3000000000000003,0.2
2010,1,1,13,30,976,81,707,4,28,1010,3,1.8,0.2
2010,1,1,14,30,933,80,601,3,28,1000,337,1.8,0.2
2010,1,1,15,30,861,70,437,3,27,1000,315,1.9000000000000001,0.2
2010,1,1,16,30,709,54,234,5,23,1000,307,1.8,0.2
2010,1,1,17,30,282,20,34,8,20,1010,305,1.7000000000000002,0.2
2010,1,1,18,30,0,0,0,8,18,1010,310,1.8,0.2
2010,1,1,19,30,0,0,0,9,17,1010,315,1.7000000000000002,0.2
2010,1,1,20,30,0,0,0,9,16,1010,317,1.6,0.2
2010,1,1,21,30,0,0,0,10,15,1010,318,1.5,0.2
2010,1,1,22,30,0,0,0,10,15,1010,320,1.5,0.2
2010,1,1,23,30,0,0,0,10,15,1010,322,1.5,0.2
2010,1,2,0,30,0,0,0,11,14,1010,327,1.4000000000000001,0.2
2010,1,2,1,30,0,0,0,11,14,1010,336,1.4000000000000001,0.2
2010,1,2,2,30,0,0,0,10,13,1010,348,1.3,0.2
2010,1,2,3,30,0,0,0,10,13,1010,3,1.3,0.2
2010,1,2,4,30,0,0,0,9,12,1010,16,1.3,0.2
2010,1,2,5,30,0,0,0,9,11,1010,32,1.3,0.2
