Fecha	Gb	Gd	G	Gb2	tz	gs
2014-12-05 00:00:00	1.25	0.00	0.00	-0.00	172.51	58.81
2014-12-05 00:10:00	1.10	0.00	0.00	-0.00	174.42	47.15
2014-12-05 00:20:00	0.37	0.00	0.00	-0.00	175.84	25.44
2014-12-05 00:30:00	0.04	0.00	0.00	-0.00	176.22	-7.97
2014-12-05 00:40:00	0.00	0.00	0.00	-0.00	175.28	-36.94
2014-12-05 00:50:00	0.00	0.00	0.00	-0.00	173.59	-53.33
2014-12-05 01:00:00	0.00	0.00	0.00	-0.00	171.58	-62.23
2014-12-05 01:10:00	0.00	0.00	0.00	-0.00	169.43	-67.44
2014-12-05 01:20:00	0.19	0.00	0.00	-0.00	167.22	-70.72
2014-12-05 01:30:00	0.00	0.00	0.02	-0.02	164.98	-72.90
2014-12-05 01:40:00	0.01	0.00	0.00	-0.00	162.70	-74.39
2014-12-05 01:50:00	0.91	0.00	0.00	-0.00	160.42	-75.43
2014-12-05 02:00:00	0.02	0.00	0.00	-0.00	158.13	-76.16
2014-12-05 02:10:00	0.00	0.00	0.00	-0.00	155.83	-76.66
2014-12-05 02:20:00	0.00	0.00	0.00	-0.00	153.52	-76.99
2014-12-05 02:30:00	0.00	0.00	0.00	-0.00	151.22	-77.19
2014-12-05 02:40:00	0.00	0.00	0.00	-0.00	148.91	-77.29
2014-12-05 02:50:00	0.02	0.00	0.00	-0.00	146.60	-77.31
2014-12-05 03:00:00	0.00	0.00	0.21	-0.26	144.29	-77.26
2014-12-05 03:10:00	0.14	0.00	0.08	-0.10	141.99	-77.15
2014-12-05 03:20:00	0.64	0.09	0.10	-0.01	139.68	-76.99
2014-12-05 03:30:00	0.76	0.03	0.08	-0.06	137.38	-76.79
2014-12-05 03:40:00	0.37	0.01	0.00	0.01	135.07	-76.55
2014-12-05 03:50:00	0.04	0.00	0.00	-0.00	132.77	-76.28
2014-12-05 04:00:00	0.01	0.00	0.00	-0.00	130.48	-75.98
2014-12-05 04:10:00	0.04	0.00	0.03	-0.05	128.18	-75.64
2014-12-05 04:20:00	0.27	0.00	0.00	-0.01	125.89	-75.28
2014-12-05 04:30:00	0.00	0.00	0.00	-0.00	123.61	-74.90
2014-12-05 04:40:00	0.65	0.00	0.00	-0.00	121.32	-74.49
2014-12-05 04:50:00	0.99	0.00	0.00	-0.01	119.05	-74.05
2014-12-05 05:00:00	0.28	0.00	0.00	-0.00	116.77	-73.59
2014-12-05 05:10:00	0.07	0.00	0.00	-0.00	114.51	-73.11
2014-12-05 05:20:00	0.03	0.00	0.00	-0.00	112.25	-72.60
2014-12-05 05:30:00	0.40	0.00	0.00	-0.00	109.99	-72.07
2014-12-05 05:40:00	0.01	0.00	0.00	-0.00	107.75	-71.52
2014-12-05 05:50:00	0.00	0.00	0.00	-0.00	105.50	-70.94
2014-12-05 06:00:00	0.00	0.00	0.00	-0.00	103.27	-70.33
2014-12-05 06:10:00	0.06	0.00	0.04	-0.22	101.05	-69.70
2014-12-05 06:20:00	0.19	0.00	0.07	-0.43	98.84	-69.04
2014-12-05 06:30:00	0.14	0.00	0.01	-0.04	96.63	-68.35
2014-12-05 06:40:00	0.22	0.16	0.24	-1.03	94.44	-67.62
2014-12-05 06:50:00	0.12	0.84	1.14	-7.72	92.26	-66.87
2014-12-05 07:00:00	0.00	4.07	4.84	-509.81	90.09	-66.08
2014-12-05 07:10:00	9.61	10.04	12.52	68.68	87.93	-65.26
2014-12-05 07:20:00	244.90	19.32	42.57	316.66	85.79	-64.39
2014-12-05 07:30:00	377.00	26.41	73.37	425.52	83.66	-63.49
2014-12-05 07:40:00	478.50	32.38	107.80	513.58	81.56	-62.54
2014-12-05 07:50:00	557.10	37.33	144.10	584.00	79.47	-61.55
2014-12-05 08:00:00	618.80	40.33	181.00	644.64	77.40	-60.51
2014-12-05 08:10:00	667.50	45.24	218.40	684.55	75.35	-59.41
2014-12-05 08:20:00	709.90	49.19	256.50	722.40	73.32	-58.26
2014-12-05 08:30:00	745.10	52.36	294.90	757.43	71.32	-57.05
2014-12-05 08:40:00	769.80	54.98	331.60	784.50	69.35	-55.77
2014-12-05 08:50:00	796.60	56.61	370.60	817.49	67.41	-54.43
2014-12-05 09:00:00	823.00	59.24	409.50	844.80	65.51	-53.01
2014-12-05 09:10:00	846.00	61.04	441.10	855.80	63.63	-51.51
2014-12-05 09:20:00	863.00	62.54	474.00	870.79	61.80	-49.93
2014-12-05 09:30:00	874.00	65.92	506.00	880.54	60.01	-48.26
2014-12-05 09:40:00	882.00	68.29	535.80	889.02	58.27	-46.50
2014-12-05 09:50:00	895.00	69.89	565.60	900.11	56.58	-44.63
2014-12-05 10:00:00	895.00	72.54	589.80	900.70	54.95	-42.66
2014-12-05 10:10:00	909.00	74.29	616.80	909.45	53.38	-40.57
2014-12-05 10:20:00	920.00	76.78	644.50	919.55	51.87	-38.37
2014-12-05 10:30:00	875.00	83.50	646.70	884.37	50.44	-36.05
2014-12-05 10:40:00	902.00	86.70	678.30	903.42	49.09	-33.60
2014-12-05 10:50:00	909.00	85.40	692.70	904.57	47.83	-31.02
2014-12-05 11:00:00	924.00	85.60	713.10	914.23	46.66	-28.31
2014-12-05 11:10:00	924.00	87.20	726.40	913.36	45.59	-25.47
2014-12-05 11:20:00	923.00	89.80	738.10	910.88	44.62	-22.51
2014-12-05 11:30:00	935.00	89.50	753.70	919.90	43.78	-19.43
2014-12-05 11:40:00	948.00	87.50	768.10	931.40	43.05	-16.24
2014-12-05 11:50:00	959.00	85.80	779.40	940.10	42.46	-12.95
2014-12-05 12:00:00	967.00	84.50	787.60	946.02	41.99	-9.59
2014-12-05 12:10:00	967.00	84.10	791.40	946.86	41.67	-6.16
2014-12-05 12:20:00	964.00	85.40	792.80	944.32	41.49	-2.69
2014-12-05 12:30:00	965.00	85.00	792.10	943.34	41.45	0.79
2014-12-05 12:40:00	968.00	84.30	792.50	946.34	41.55	4.27
2014-12-05 12:50:00	966.00	85.50	789.60	944.48	41.80	7.72
2014-12-05 13:00:00	958.00	87.70	781.80	936.75	42.19	11.12
2014-12-05 13:10:00	949.00	88.40	771.80	930.06	42.71	14.46
2014-12-05 13:20:00	941.00	88.40	759.20	922.72	43.37	17.70
2014-12-05 13:30:00	946.00	86.90	754.40	930.24	44.15	20.84
2014-12-05 13:40:00	953.00	84.60	746.50	936.84	45.05	23.87
2014-12-05 13:50:00	930.00	88.90	727.60	920.43	46.06	26.77
2014-12-05 14:00:00	939.00	91.10	722.10	928.28	47.18	29.55
2014-12-05 14:10:00	929.00	87.20	698.70	920.86	48.39	32.20
